개방자치코드,인허가일자,영업상태코드,상세영업상태,소재지,도로명,사업장명,자본금
3000000,2008-03-10,04,등록취소,서울특별시 종로구 통의동 35-89번지 오리온빌딩 2층 ,"서울특별시 종로구 효자로 7-2 (통의동,오리온빌딩 2층)",(유)더에이치엔에스,38097000
3000000,1998-05-12,04,등록취소,서울특별시 종로구 내수동 4-0번지 옥빌딩601호 ,"서울특별시 종로구 새문안로5가길 11  (내수동,옥빌딩601호)",(주)보딩패스여행사,25243000
3000000,1998-08-10,04,등록취소,서울특별시 종로구 신문로1가 25-0번지 용마빌딩401호 ,,(주)동성에어,4200000
3000000,1998-11-21,04,등록취소,서울특별시 종로구 청진동 244-0번지 한백빌딩3층 ,,에스케이여행사,12044000
3000000,1999-03-12,04,등록취소,서울특별시 종로구 당주동 2-2번지 ,서울특별시 종로구 새문안로5가길 3-1  (당주동),(주)고산자답사회한국여행문화,34454000
3000000,2007-08-13,04,등록취소,서울특별시 종로구 신문로1가 58-14번지 한글회관 4층 ,"서울특별시 종로구 새문안로3길 7  (신문로1가,한글회관 4층)",(주)나인틴골프여행사,10764000
3000000,2007-10-24,04,등록취소,서울특별시 종로구 신문로1가 163번지 광화문오피시아빌딩 1032호,서울특별시 종로구 새문안로 92 (신문로1가),(주)마사리조트코리아,23134000
3000000,1999-03-25,04,등록취소,서울특별시 종로구 당주동 145-0번지 미도파빌딩507호 ,"서울특별시 종로구 세종대로23길 47  (당주동,미도파빌딩507호)",(주)에스엘여행사(),42130000
3000000,1999-04-19,04,등록취소,서울특별시 종로구 신문로1가 58-0번지 구세군회관빌딩604호 ,,(주)여행통신,44335000
3000000,1999-04-29,04,등록취소,서울특별시 종로구 신문로1가 7-2번지 세종빌딩305호 ,,(주)명품여행사,24542000
3000000,1999-04-30,04,등록취소,서울특별시 종로구 내수동 4-0번지 옥빌딩403호 ,"서울특별시 종로구 새문안로5가길 11  (내수동,옥빌딩403호)",(주)삼아항공,28958000
3000000,1999-05-13,04,등록취소,서울특별시 종로구 내수동 167-0번지 세종로대우빌딩 901호 ,"서울특별시 종로구 새문안로3길 30  (내수동,세종로대우빌딩 901호)",(주)덕송라인,5622000
3000000,1999-08-13,04,등록취소,서울특별시 종로구 청진동 201-1번지 진학회관 401호 ,"서울특별시 종로구 종로3길 38  (청진동,진학회관 401호)",(주)한빛여행문화,13199000
3000000,1999-08-17,04,등록취소,서울특별시 종로구 신문로1가 24-0번지 고려빌딩516호 ,"서울특별시 종로구 새문안로 91  (신문로1가,고려빌딩516호)",(주)고고여행사,6834000
3000000,1999-09-18,04,등록취소,서울특별시 종로구 신문로1가 58-1번지 구세군회관 401호 ,"서울특별시 종로구 새문안로 69  (신문로1가,구세군회관 401호)",(주)리츠여행사,36430000
3000000,1999-11-22,04,등록취소,서울특별시 종로구 도렴동 60-0번지 도렴빌딩 702호 ,"서울특별시 종로구 새문안로5길 37  (도렴동,도렴빌딩 702호)",(주)아이신나,11469000
3000000,1999-11-22,04,등록취소,서울특별시 종로구 관훈동 198-16번지 남도빌딩 305호 ,"서울특별시 종로구 인사동7길 33  (관훈동,남도빌딩 305호)",(주)여행그리고꿈,42566000
3000000,1999-11-30,04,등록취소,서울특별시 종로구 경운동 101-5번지 ,,(주)태신항공여행사,34457000
3000000,1996-12-26,04,등록취소,서울특별시 종로구 종로1가 19-1번지 표준빌딩 701호 ,,(주)천문파티마관광,11826000
3000000,1997-02-26,04,등록취소,서울특별시 종로구 견지동 54-0번지 우일빌딩 비1층 ,"서울특별시 종로구 우정국로 51  (견지동,우일빌딩 비1층)",(주)초원월드여행사,8768000
3000000,2013-02-13,04,등록취소,서울특별시 종로구 관훈동 197-28번지 백상빌딩 1023호,"서울특별시 종로구 인사동7길 12, 1023호 (관훈동, 백상빌딩)",뭉치고,21260000
3000000,2000-07-20,04,등록취소,서울특별시 종로구 연건동 81-1번지 ,서울특별시 종로구 대학로5가길 1  (연건동),(주)메디투어,7546000
3000000,2000-08-09,04,등록취소,서울특별시 종로구 내수동 167-0번지 세종로대우빌딩815호 ,"서울특별시 종로구 새문안로3길 30  (내수동,세종로대우빌딩815호)",(주)시에스유니언,33308000
3000000,2000-08-30,04,등록취소,서울특별시 종로구 신문로1가 24-0번지 고려빌딩 304호 ,"서울특별시 종로구 새문안로 91  (신문로1가,고려빌딩 304호)",비비투어닷컴(주),1866000
3000000,2000-09-08,04,등록취소,서울특별시 종로구 도렴동 115-0번지 삼육빌딩 308 308호,,(주)씨앤티항공물산(),3349000
3000000,2001-10-18,04,등록취소,서울특별시 종로구 신문로1가 25번지 용마빌딩407 ,,(주)여행게이트(),7151000
3000000,2001-11-21,04,등록취소,서울특별시 종로구 안국동 175-87번지 안국빌딩 1402호 ,"서울특별시 종로구 율곡로 33  (안국동,안국빌딩 1402호)",(주)토토항공,37990000
3000000,2001-11-30,04,등록취소,서울특별시 종로구 동숭동 1-49번지 동숭빌딩 501호 ,"서울특별시 종로구 대학로8가길 56  (동숭동,동숭빌딩 501호)",(주)꿈을펼치는공간,42641000
3000000,2001-12-03,04,등록취소,서울특별시 종로구 인사동 194번지 홍익빌딩 605호 ,"서울특별시 종로구 인사동5길 26  (인사동,홍익빌딩 605호)",(주)쌍용세계투어,21074000
3000000,2002-12-09,04,등록취소,서울특별시 종로구 숭인동 211-8번지 해광빌딩 503호 ,"서울특별시 종로구 난계로27길 44-5  (숭인동,해광빌딩 503호)",(주)만남여행사(),39284000
3000000,2002-12-09,04,등록취소,서울특별시 종로구 신문로1가 238-0번지 신문로빌딩 지하7호 ,"서울특별시 종로구 새문안로3길 12  (신문로1가,신문로빌딩 지하7호)",(주)프라이데이투어(),17017000
3000000,2004-09-21,04,등록취소,서울특별시 종로구 당주동 5번지 로얄빌딩 927호 ,"서울특별시 종로구 새문안로5길 19  (당주동,로얄빌딩 927호)",여행광장(주),43457000
3000000,2010-06-04,04,등록취소,서울특별시 종로구 내수동 75번지 용비어천가 926호,"서울특별시 종로구 새문안로3길 36, 926호 (내수동,용비어천가)",아시아골프클럽(주),17335000
